site_name,What does the respondent call the site?,governorate,district,subdistrict,site_typology,Is this a single or clustered site?,How many sites are there?,coordinates_latitude,coordinates_longitude,background/hhs_clusterd_dispersed,background/date_first_occupied,background/date_majority_arrived,hh/total_families,hh/total_population,hh/total_females,hh/total_children,hh/total_schoolagedchildren,vulnerabilities_groups/F_HoH,vulnerabilities_groups/Child_HoH,vulnerabilities_groups/unaccompanied,vulnerabilities_groups/ppl_physical_dis,vulnerabilities_groups/ppl_chronic_disease,vulnerabilities_groups/preg_or_lac,vulnerabilities_groups/elderly_at_risk,background/governorate_aoo,background/district_aoo,background/location,background/date_of_firstdeparture,social_cohesion/intentions_three,social_cohesion/intentions_twelve,social_cohesion/reasons_not_to_return,shelter_type/types,shelter_type/damaged_inneedof_repairs,shelter_type/main_priority_concerns,shelter_type/payingrent,shelter_type/tenancy_agreement,social_cohesion/eviction,Which actors are trying to forcibly evict the site residents?,What are the main reasons that these households are at risk of forcible eviction?,physical_conditions/overcrowding,physical_environment/dis_access,physical_environment/electric,physical_environment/elec_concerns,physical_environment/fire_equipment,physical_environment/mines,Which services/ assistance are needed most urgently in the site (select up to 3)?,Have any services or assistance been provided to the site in the last 3 months?,(if yes) What type of assistance (select all that apply)?,(if yes) From who? (select all that apply)?,Do households in the site need more information on how to access needed services?,sanitation/drinking,sanitation/water_acceptable,"In the last 30 days, were any households unable to access their primary source of drinking water?",(If yes) How many households experienced access issues?,(If yes) For how many days on average (in the last 30)?,"(if yes) How do households cope with lack of access i.e. buy water, rely on communal tanks etc (select all that apply)?",latrines/functional_types,showers/functional_types,sanitation/open_def,Were any households unable to access or afford basic hygiene items in the last 30 days?,sanitation/flooding,sanitation/wastecollection,What were the main health issues experienced by site residents in the last 30 days (select all that apply)?,health/functional_clinic_within_5km,"In what area is it located i.e. town, sub-district",health/emergency_services,health/surgical_services,health/pediatric_services,health/prenatal_services,health/functional_hospital_within_10km,"In what area is it located i.e. town, sub-district","In your opinion, what are the barriers to accessing healthcare services  from the site?",health/ambulance,Have there been any vaccination campaigns providing vaccinations in the last 6 months at the site?,food_security/food_access_in_last_7_days,food_security/main_concern,food_security/pds,livelihoods/markets,(if yes) How far away (km)?,"In the last 30 days, were there any basic food or non-food items that were not affordable to the average household?",What are the primary sources of livelihoods people in the site have access to / are engaging in?,"In your opinion, what are the barriers to accessing livelihoods/income generating opportunities from the site ?",Approximately what proportion of minors (under the age of 18) from the site worked in the last 30 days?,education/primary_school_in_sites,(if yes) How far away (km)?,(if yes) Are there sufficient certified teachers?,education/secondary_school_in_sites,(if yes) How far away (km)?,(if yes) Are there sufficient certified teachers?,education/school_aged_children_able_to_access_school,"In your opinion, what are the primary challenges to accessing formal education?",How many school-aged children have not been attending formal education in the last school year?,"Are any groups of children less able to access formal or non-formal education i.e. high-school aged boys or girls, or children with disabilities?",protection/movement_restrictions,social_cohesion/tension,protection/security_incidents,protection/safety,protection/facilities_services_disability,protection/facilities_services_mental_disability,"Are there adequate mental health and psycho-social support services available for persons in the site, through government, humanitarian or private service providers?",protection/civil_documents,protection/accessible_courts,_id,_uuid,_submission_time,_validation_status,_index,admin3Na_1,admin3Pcod,admin2Pcod,admin1Pcod
Al Saxra Complex- Citadel city center - 1,Al-Sakhra,Erbil,Erbil,Markaz Erbil,Collective centre,Single,,36.18730798,44.01283005,IDP households are clustered together,8/1/2014,8/1/2014,143,400,170,52,86,10,0,2,12,15,5,5,Ninewa,Mosul,Rqaraqosh and Bartella,6/1/2014,Stay at site,Stay at site,Security concerns: Fear/trauma associated with returning to place of origin No financial means to return and restart House has been damaged/destroyed,"Non-Residential structure (garage, farm House, shop)",No shelters (0%),"Improve privacy and dignity (no separate rooms, not enough space, shared facilities such as toilets & showers, low/high ceilings, lack of ventilation, lack of natural lighting)",No households (0%),No tenancy agreement,No,,,Yes,"Yes, but with difficulty (steep routes, too many stairs, etc.)",All have access (100%),None,None,Neither present in or around the site,"Food assistance WASH (hygeine and sanitation infrastructure i.e. latrines and showers) In-kind education i.e. books, stationary etc.",Yes,Food assistance,Religious organization,Yes,Connected to a borehole or well with functioning pump,Yes,Yes,Less than half (25%-49%),15,Borrow from friends or relatives,Private latrines,Private showers,No,No,No,Yes,Numerous cases of diarrhea,Yes,,Yes,Yes,Yes,Yes,Yes,60 St.,None,No,Yes,Less than a quarter (1%-24%),None,No,Yes,1,Everything needed is available,Unskilled wage labour Self-employment,Increased competition for jobs; not enough jobs for everyone,6,Yes,8,Yes,Yes,8,Yes,100,Physical/ logistical constraints,No children (0%),Children with disabilities,None,No,No,Yes,Yes,Yes,Yes,No households (0%),6,67099112,20990a10-3187-46a5-8511-72f585020365,2019-09-08T13:16:28,,144,???? ?????,IQG11Q02N02,IQG11Q02,IQG11
New zinyat 6-1,Zeneat Jadeda 6,Duhok,Sumail,Sindi,Dispersed settlements,Cluster,3,36.77856969,42.77783864,IDP households are dispered,8/1/2014,8/1/2014,34,360,100,60,90,2,2,0,1,2,10,6,Ninewa,Sinjar,ArwbaQ.,8/1/2014,Stay at site,Stay at site,"Security concerns: Lack of security forces Basic services in the area of origin are not enough/available (electricity, water, health) House has been damaged/destroyed",Tent,Nearly all shelters (75-99%),"Improve privacy and dignity (no separate rooms, not enough space, shared facilities such as toilets & showers, low/high ceilings, lack of ventilation, lack of natural lighting) Protect from climatic conditions (leaking roof, floor not insulated, opening on the walls, broken windows, lack of ventilation, missing heating system, etc.) Improve safety and security (shelter located in an insecure/ isolated area, shelter not solid enough to offer protection from intruders, not fenced, without security of tenure, etc",No households (0%),No tenancy agreement,No,,,No,"No, the site is not accessible",All have access (100%),Poor wiring Low and uncovered electrical pylons,None,Neither present in or around the site,Cash Food assistance Winterization items,No,,,No,Municipal water network (private access),Yes,No,,,,Communal latrines,Public showers Private showers,No,No,No,Yes,None,Yes,Khanky,No,No,No,No,Yes,semel,Cost of healthcare was too high Cost of transport was too high Insufficient funds to purchase treatment/ medication,Yes,Yes,No households (0%),None,Yes,Yes,1,Everything needed is available,Unskilled agricultural albour Casual unskilled labour,"Only low-skilled, socially degrading or low-paid jobs are available Increased competition for jobs; not enough jobs for everyone",25,Yes,1,No,Yes,2,No,90,Not enough teachers,No children (0%),None,None,No,No,Yes,No,No,No,No households (0%),25,67314576,f6956747-3a4e-406d-b55a-ed4af6cfc1bc,2019-09-10T12:56:01,,188,????,IQG09Q03N04,IQG09Q03,IQG09
Bedar Sector - bedar 2,Plase,Duhok,Zakho,Markaz Zakho,Collective centre,Single,,37.14429966,42.63730294,IDP households are clustered together,8/1/2014,8/1/2014,40,280,120,30,60,2,0,0,1,30,15,0,Ninewa,Mosul Sinjar,Sinjar,8/1/2014,Stay at site,Stay at site,"Security concerns: Lack of security forces Security concerns: Presence of explosive hazards (mines, bombs, IEDs) Lack of livelihood/income generating activities in AoO Basic services in the area of origin are not enough/available (electricity, water, health)","Non-Residential structure (garage, farm House, shop) Unfinished and abandoned Residential building Makeshift shelter (with scavenged materials)",Nearly all shelters (75-99%),"Improve privacy and dignity (no separate rooms, not enough space, shared facilities such as toilets & showers, low/high ceilings, lack of ventilation, lack of natural lighting) Protect from climatic conditions (leaking roof, floor not insulated, opening on the walls, broken windows, lack of ventilation, missing heating system, etc.) Improve basic infrastructures and utilities (access to electricity, cooking and bathing/toilet  facilities)",Less than a quarter (1%-24%),No tenancy agreement,No,,,Yes,"Yes, but with difficulty (steep routes, too many stairs, etc.)",All have access (100%),Overloaded circuits,Fire extinguishers,Neither present in or around the site,Cash Food assistance Cash for Work activities,No,,,Yes,Municipal water network (communal access),Yes,Yes,Less than a quarter (1%-24%),2,Borrow from friends or relatives,Communal latrines,Communal showers,No,Yes,No,No,None,Yes,Zakho,Yes,No,Yes,No,Yes,Zakho  ,Insufficient funds to purchase treatment/ medication,Yes,Yes,Most households (50-70%),"Limited access to food due to physical/logistical constraints (e.g. damaged roads, no vehicles, long distance)",Yes,Yes,1,Hygiene items Basic medicine Kerosene,Unskilled agricultural albour Unskilled wage labour Casual unskilled labour,Available jobs are too far away,25,Yes,3,Yes,Yes,3,Yes,60,Long distance to travel to school Children have to work to cope with lack of food,Less than a quarter (1%-24%),Male middle school Male high school Children with disabilities,None,No,No,Yes,No,No,No,Less than a quarter (1%-24%),70,67911046,beeedf9a-e7f0-4a04-90ea-7e6e04ad5e8b,2019-09-15T13:20:07,,276,???? ????,IQG09Q04N01,IQG09Q04,IQG09
Khrababik unfinish buildings 10,Kharababk,Duhok,Zakho,Markaz Zakho,Self-settled site,Single,,37.14690276,42.75025765,IDP households are dispered,8/1/2014,8/1/2014,120,960,600,150,300,15,3,0,10,50,15,0,Ninewa,Sinjar,Sinjar,8/1/2014,Stay at site,Stay at site,"Security concerns: Lack of security forces Security concerns: Presence of explosive hazards (mines, bombs, IEDs) House has been damaged/destroyed",Unfinished and abandoned Residential building Tent,All shelters (100%),"Protect from climatic conditions (leaking roof, floor not insulated, opening on the walls, broken windows, lack of ventilation, missing heating system, etc.) Improve basic infrastructures and utilities (access to electricity, cooking and bathing/toilet  facilities) Improve structural stability of the building (signs of failure such as leaning walls, big cracks and bends in structural components  - beam, slab, column, rafter, purlin and wall risk of falling debris)",Most households (50%-74%),No tenancy agreement,Yes,Private owner,Request to vacate from owner of building/land,Yes,"Yes, but with difficulty (steep routes, too many stairs, etc.)",All have access (100%),Overloaded circuits,None,Neither present in or around the site,Food assistance Winterization items Fuel,Yes,Food assistance,Local NGO,Yes,Municipal water network (communal access),Yes,No,,,,Private latrines,Private showers,Don't know,Yes,No,Yes,Numerous cases of diarrhea,Yes,Khrababk,No,No,Yes,No,Yes,Zakho,Cost of healthcare was too high Insufficient funds to purchase treatment/ medication No transport available,Yes,Yes,Most households (50-70%),"Limited access to food due to physical/logistical constraints (e.g. damaged roads, no vehicles, long distance)",Yes,Yes,1,"Basic households items (e.g. mattress, blankets, kitchen utensils) Tools, hardware and materials Kerosene",Unskilled agricultural albour Unskilled wage labour,Increased competition for jobs; not enough jobs for everyone Available jobs are too far away,30,Yes,1,Yes,No,,Don't know,80,Long distance to travel to school Children have to work to cope with lack of food,Less than a quarter (1%-24%),Male middle school Female middle school Children with disabilities,None,No,No,Yes,No,No,No,Less than a quarter (1%-24%),150,67589490,b41979bd-679e-475d-9e03-942f4e5e932b,2019-09-12T12:40:44,,236,???? ????,IQG09Q04N01,IQG09Q04,IQG09
Khrababik unfinish buildings 7,Kharababk,Duhok,Zakho,Markaz Zakho,Self-settled site,Single,,37.14571972,42.7552216,IDP households are dispered,8/1/2014,8/1/2014,108,1300,650,200,300,3,0,0,3,40,20,0,Ninewa,Mosul Sinjar,Sinjar,8/1/2014,Stay at site,Stay at site,"Security concerns: Lack of security forces Security concerns: Presence of explosive hazards (mines, bombs, IEDs) Basic services in the area of origin are not enough/available (electricity, water, health)",Unfinished and abandoned Residential building Apartment Tent,All shelters (100%),"Protect from climatic conditions (leaking roof, floor not insulated, opening on the walls, broken windows, lack of ventilation, missing heating system, etc.) Improve basic infrastructures and utilities (access to electricity, cooking and bathing/toilet  facilities) Improve structural stability of the building (signs of failure such as leaning walls, big cracks and bends in structural components  - beam, slab, column, rafter, purlin and wall risk of falling debris)",Nearly all households (75%-99%),No tenancy agreement,No,,,No,"Yes, but with difficulty (steep routes, too many stairs, etc.)",All have access (100%),Overloaded circuits,None,Neither present in or around the site,Cash Food assistance Fuel,No,,,Yes,Municipal water network (communal access),No,No,,,,Communal latrines Private latrines,Communal showers Private showers,No,Yes,No,Yes,None,No,,,,,,Yes,Zakho,Faciltiies were too far away Insufficient funds to purchase treatment/ medication,Yes,Yes,Most households (50-70%),"Limited access to food due to physical/logistical constraints (e.g. damaged roads, no vehicles, long distance)",Yes,Yes,1,"Basic households items (e.g. mattress, blankets, kitchen utensils) Tools, hardware and materials Kerosene",Unskilled agricultural albour Unskilled wage labour Casual unskilled labour,Increased competition for jobs; not enough jobs for everyone Available jobs are too far away,20,Yes,1,Yes,No,,No,70,"Limited economic resources (e.g. to pay for school fees, uniform, transport, books, etc) Children have to work to cope with lack of food",Less than half (25%-49%),Male middle school Female middle school Male high school Children with disabilities,No money for transportation cost,No,No,Yes,No,No,No,Less than a quarter (1%-24%),120,67827908,8131eeef-289c-4659-98e4-eed3b35f42ff,2019-09-14T13:46:08,,268,???? ????,IQG09Q04N01,IQG09Q04,IQG09
Hay Al Jamia-Mahalla 622 - site 8,Mejwel Saheb Ali,Kirkuk,Kirkuk,Markaz Kirkuk,Dispersed settlements,Cluster,1,35.40294102,44.33183559,IDP households are dispered,8/1/2014,9/1/2015,90,340,150,115,65,5,1,1,6,8,8,2,Salah al-Din Kirkuk,Tooz,Suleiman Bek,8/1/2014,Stay at site,Stay at site,"No financial means to return and restart Lack of livelihood/income generating activities in AoO House has been damaged/destroyed Basic services in the area of origin are not enough/available (electricity, water, health)",Unfinished and abandoned Residential building,All shelters (100%),"Protect from climatic conditions (leaking roof, floor not insulated, opening on the walls, broken windows, lack of ventilation, missing heating system, etc.) Improve basic infrastructures and utilities (access to electricity, cooking and bathing/toilet  facilities) Improve structural stability of the building (signs of failure such as leaning walls, big cracks and bends in structural components  - beam, slab, column, rafter, purlin and wall risk of falling debris)",Less than a quarter (1%-24%),No tenancy agreement,No,,,Yes,"No, the site is not accessible",All have access (100%),None,None,Neither present in or around the site,Cash Food assistance Shelter rehabilitation,No,,,No,Municipal water network (communal access),No,No,,,,Private latrines,Private showers,Yes,No,No,No,"Numerous cases of diarrhea Skin diseases (scabies, contagious rashes, etc.) Typhoid",Yes,Hay Al Jamea',No,No,Yes,Yes,Yes,Raas Al Jaser,Insufficient funds to purchase treatment/ medication Medication not available,No,Yes,No households (0%),None,Yes,Yes,4,Everything needed is available,Casual unskilled labour,Increased competition for jobs; not enough jobs for everyone,1,Yes,1,Yes,Yes,1,Yes,70,None,Less than half (25%-49%),Male high school Female high school,None,No,No,Yes,No,No,No,Less than a quarter (1%-24%),12,66880010,2ca98ede-a294-4ea2-941e-9942b5a47ae1,2019-09-05T21:25:17,,125,???? ?????,IQG13Q04N06,IQG13Q04,IQG13
Hay Al Jamia-Mahalla 622 - site 5,Khaled Ibrahim Ahmad,Kirkuk,Kirkuk,Markaz Kirkuk,Dispersed settlements,Cluster,1,35.40959621,44.33731996,IDP households are dispered,8/1/2014,9/1/2014,57,250,75,35,48,2,0,0,2,3,2,1,Diyala Kirkuk,Ba'quba,Qara tepe,8/1/2014,Stay at site,Stay at site,"No financial means to return and restart House has been damaged/destroyed Basic services in the area of origin are not enough/available (electricity, water, health)",House Unfinished and abandoned Residential building,Less than half shelters (25%-49%),"Improve privacy and dignity (no separate rooms, not enough space, shared facilities such as toilets & showers, low/high ceilings, lack of ventilation, lack of natural lighting) Protect from climatic conditions (leaking roof, floor not insulated, opening on the walls, broken windows, lack of ventilation, missing heating system, etc.) Improve structural stability of the building (signs of failure such as leaning walls, big cracks and bends in structural components  - beam, slab, column, rafter, purlin and wall risk of falling debris)",Less than half (25%-49%),No tenancy agreement,No,,,No,"Yes, without any problem",All have access (100%),None,None,Neither present in or around the site,Cash Food assistance Cash for Work activities,No,,,No,Municipal water network (communal access),No,No,,,,Private latrines,Private showers,No,No,No,Yes,"Numerous cases of diarrhea Skin diseases (scabies, contagious rashes, etc.) Numerous cases of fever",Yes,Hay Al Jamea',No,No,Yes,Yes,Yes,Raas Al Jaser,Cost of healthcare was too high Medication not available,Yes,Yes,All households (100%),None,No,Yes,1,Everything needed is available,Casual unskilled labour,Increased competition for jobs; not enough jobs for everyone,1,Yes,1,Yes,Yes,1,Yes,50,None,All children (100%),Male high school Female high school,None,No,No,Yes,No,No,No,Less than a quarter (1%-24%),10,67093810,5a60b4f0-4bd5-4c91-830b-3d79d25c1ef5,2019-09-08T12:27:25,,141,???? ?????,IQG13Q04N06,IQG13Q04,IQG13
Hay Al Jamia-Mahalla 622 - site 6,Ali mohammed Qasab,Kirkuk,Kirkuk,Markaz Kirkuk,Dispersed settlements,Cluster,1,35.40429967,44.34042867,IDP households are dispered,8/1/2014,8/1/2014,50,320,200,90,85,3,1,0,1,5,10,1,Kirkuk Salah al-Din,Hawiga,Al-Zab,8/1/2014,Don't know,Don't know,No transportation available to return home Lack of livelihood/income generating activities in AoO House has been damaged/destroyed Household assets have been damaged/stolen,House,No shelters (0%),No improvements needed  (shelter is good as it is),Less than a quarter (1%-24%),No tenancy agreement,No,,,No,"No, the site is not accessible",All have access (100%),None,None,Neither present in or around the site,Cash Food assistance NFIs,No,,,No,Municipal water network (communal access),No,No,,,,Private latrines,Private showers,No,No,No,Yes,"Numerous cases of diarrhea Skin diseases (scabies, contagious rashes, etc.)",Yes,Hay Al Jamea',No,No,Yes,Yes,Yes,Raas Al Jaser,Medication not available,Yes,Yes,No households (0%),None,Yes,Yes,5,Everything needed is available,Casual unskilled labour,None,1,Yes,1,Yes,Yes,1,Yes,30,None,Less than half (25%-49%),Female middle school Female high school,None,No,No,Yes,No,No,No,Less than a quarter (1%-24%),10,66880635,070f64aa-8dec-45a6-bba8-52fc0010dc90,2019-09-05T21:41:14,,127,???? ?????,IQG13Q04N06,IQG13Q04,IQG13
Hay Al-Nedaa - ???? 1,Baha rekan,Kirkuk,Kirkuk,Markaz Kirkuk,Small settlement,Cluster,2,35.39590915,44.37556925,IDP households are dispered,11/1/2014,9/1/2015,400,2000,800,300,400,10,0,0,1,5,30,5,Kirkuk Salah al-Din,Daquq,gheda,9/1/2014,Stay at site,Stay at site,No financial means to return and restart Lack of livelihood/income generating activities in AoO House has been damaged/destroyed,Unfinished and abandoned Residential building,Most shelters (50%-74%),"Improve basic infrastructures and utilities (access to electricity, cooking and bathing/toilet  facilities) Improve structural stability of the building (signs of failure such as leaning walls, big cracks and bends in structural components  - beam, slab, column, rafter, purlin and wall risk of falling debris)",Less than a quarter (1%-24%),No tenancy agreement,No,,,No,"Yes, without any problem",All have access (100%),Not enough electricity supply to the whole site,None,Neither present in or around the site,Cash Food assistance NFIs,No,,,Yes,Municipal water network (private access),Yes,No,,,,Private latrines,Private showers,No,No,No,Yes,"Skin diseases (scabies, contagious rashes, etc.) Numerous cases of respiratory diseases Numerous cases of pregnancy related diseases",Yes,Dwmeez,No,No,No,Yes,Yes,Raas Al Jaser,Cost of healthcare was too high Insufficient funds to purchase treatment/ medication,Yes,Yes,All households (100%),None,Yes,Yes,1,"Basic households items (e.g. mattress, blankets, kitchen utensils) Kerosene",Unskilled wage labour,Increased competition for jobs; not enough jobs for everyone Lack of family/personal connections,2,Yes,1,Yes,Yes,1,Yes,50,Physical/ logistical constraints,Less than half (25%-49%),Male primary school Male middle school Male high school Female high school Children with disabilities,None,No,No,Yes,No,No,No,Less than a quarter (1%-24%),12,68157603,e6890e4f-c566-4306-ad5f-b528ab922639,2019-09-17T13:37:10,,300,???? ?????,IQG13Q04N06,IQG13Q04,IQG13
Laylan-Al Abadat village - site 2-3,Waad Mahmmod,Kirkuk,Kirkuk,Taza Khormato,Dispersed settlements,Single,,35.38122424,44.3496974,IDP households are dispered,9/1/2014,9/1/2014,550,2500,1000,250,100,3,2,1,2,5,20,3,Kirkuk Salah al-Din,Hawiga,Al Haweja,9/1/2014,Stay at site,Stay at site,No financial means to return and restart Lack of livelihood/income generating activities in AoO House has been damaged/destroyed,Unfinished and abandoned Residential building,Most shelters (50%-74%),"Improve safety and security (shelter located in an insecure/ isolated area, shelter not solid enough to offer protection from intruders, not fenced, without security of tenure, etc Protect from climatic conditions (leaking roof, floor not insulated, opening on the walls, broken windows, lack of ventilation, missing heating system, etc.)",Less than half (25%-49%),No tenancy agreement,No,,,No,"Yes, but with difficulty (steep routes, too many stairs, etc.)",All have access (100%),None,None,Neither present in or around the site,Cash NFIs Winterization items,No,,,Yes,Protected open well,No,No,,,,Private latrines,Private showers,No,No,No,Yes,Numerous cases of diarrhea Numerous cases of respiratory diseases Typhoid,Yes,Wahed Athar Q.,No,No,Yes,Yes,Yes,Raas Al Jaser,None,Yes,Yes,All households (100%),None,Yes,Yes,2,Kerosene,Unskilled wage labour Casual unskilled labour Pension from government,Increased competition for jobs; not enough jobs for everyone Lack of family/personal connections,5,Yes,1,Yes,Yes,1,Yes,50,"Limited economic resources (e.g. to pay for school fees, uniform, transport, books, etc) Children have to work to cope with lack of food",Less than half (25%-49%),Female middle school Male high school Female high school Children with disabilities,None,No,No,Yes,No,No,No,Less than a quarter (1%-24%),15,68271515,f379abec-c402-4e25-84ae-a6247ed6972b,2019-09-18T11:30:10,,302,???? ???????,IQG13Q04N01,IQG13Q04,IQG13
Hay Al Jamia-Mahalla 622 - site 2,Ali Mohammed Gasab,Kirkuk,Kirkuk,Markaz Kirkuk,Small settlement,Cluster,10,35.40438739,44.34049693,IDP households are dispered,9/1/2014,7/1/2016,90,200,150,100,120,1,1,1,1,5,8,1,Salah al-Din Diyala,Daur,Yes,6/1/2014,Stay at site,Stay at site,Lack of livelihood/income generating activities in AoO House has been damaged/destroyed Household assets have been damaged/stolen,House Unfinished and abandoned Residential building,Less than half shelters (25%-49%),"Protect from climatic conditions (leaking roof, floor not insulated, opening on the walls, broken windows, lack of ventilation, missing heating system, etc.) Improve structural stability of the building (signs of failure such as leaning walls, big cracks and bends in structural components  - beam, slab, column, rafter, purlin and wall risk of falling debris)",Most households (50%-74%),No tenancy agreement,No,,,No,"Yes, without any problem",All have access (100%),None,None,Neither present in or around the site,Cash Food assistance NFIs,Yes,Cash Food assistance NFIs,INGO,No,Protected open well,Yes,No,,,,Private latrines,Private showers,Yes,No,No,Yes,"Numerous cases of diarrhea Skin diseases (scabies, contagious rashes, etc.) Cholera Typhoid",Yes,Abd Al rahman St.,No,No,Yes,Yes,Yes,Raas Al Jaser,Cost of healthcare was too high Insufficient funds to purchase treatment/ medication,No,Yes,No households (0%),None,Yes,Yes,1,Everything needed is available,Casual unskilled labour,None,1,Yes,1,Yes,Yes,1,Yes,10,"Limited economic resources (e.g. to pay for school fees, uniform, transport, books, etc) Children have to work to cope with lack of food",Less than half (25%-49%),Female middle school Male high school Female high school,None,No,No,Yes,No,No,No,Less than a quarter (1%-24%),10,67913245,21e0f4d5-c747-44f9-ba50-99dabcdfb5b6,2019-09-15T13:34:05,,277,???? ?????,IQG13Q04N06,IQG13Q04,IQG13
